Familia,Specie,Code
Leptodactylidae,Adenomera andreae,ADEAND
Leptodactylidae,Adenomera diptyx,ADEDIP
Leptodactylidae,Adenomera marmorata,ADEMAR
Dendrobatidae,Ameerega picta,AMEPIC
Microhylidae,Arcovomer passarelli,ARCPAS
Craugastoridae,Barycholos ternetzi,BARTER
Hylidae,Boana albomarginata,BOAALM
Hylidae,Boana albopunctata,BOAALB
Hylidae,Boana bischoffi,BOABIS
Hylidae,Boana faber,BOAFAB
Hylidae,Boana leptolineata,BOALEP
Hylidae,Boana lundii,BOALUN
Hylidae,Boana multifasciata,BOAMUL
Hylidae,Boana paranaiba,BOAPAR
Hylidae,Boana prasina,BOAPRA
Hylidae,Boana raniceps,BOARAN
Hylidae,Boana semilineata,BOASEM
Hylidae,Dendropsophus anceps,DENANC
Hylidae,Dendropsophus bipunctatus,DENBIP
Hylidae,Dendropsophus cruzi,DENCRU
Hylidae,Dendropsophus elegans,DENELE
Hylidae,Dendropsophus minutus,DENMIN
Hylidae,Dendropsophus nahdereri,DENNAH
Hylidae,Dendropsophus nanus,DENNAN
Hylidae,Dendropsophys elegans,DENELE
Microhylidae,Elachistocleis bicolor,ELABIC
Microhylidae,Elachistocleis matogrosso,ELAMAT
Leptodactylidae,Leptodactylus elenae,LEPELE
Leptodactylidae,Leptodactylus flavopictus,LEPFLA
Leptodactylidae,Leptodactylus fuscus,LEPFUS
Leptodactylidae,Leptodactylus labyrinthicus,LEPLAB
Hylidae,Leptodactylus latrans,LEPLAT
Leptodactylidae,Leptodactylus notoaktites,LEPNOT
Leptodactylidae,Leptodactylus paraensis,LEPPAR
Leptodactylidae,Leptodactylus pentadactylus,LEPPEN
Leptodactylidae,Leptodactylus petersii,LEPPET
Leptodactylidae,Leptodactylus podicipinus,LEPPOD
Hylidae,Phyllomedusa distincta,PHYDIS
Phyllomedusidae,Phyllomedusa sauvagii,PHYSAU
Leptodactylidae,Physalaemus albonotatus,PHYALB
Leptodactylidae,Physalaemus atim,PHYATI
Leptodactylidae,Physalaemus cuvieri,PHYCUV
Leptodactylidae,Physalaemus marmoratus,PHYMAR
Leptodactylidae,Physalaemus nattereri,PHYNAT
Leptodactylidae,Physallaemus ephippifer,PHYEPH
Phyllomedusidae,Pithecopus azureus,PITAZU
Hylidae,Pseudis paradoxa,PSEPAR
Bufonidae,Rhinella icterica,RHIICT
Bufonidae,Rhinella marina,RHIMAR
Bufonidae,Rhinella mirandaribeiroi,RHIMIR
Bufonidae,Rhinella ornata,RHIORN
Bufonidae,Rhinella scitula,RHISCI
Hylidae,Scinax alter,SCIALT
Hylidae,Scinax cuspidatus,SCICUS
Hylidae,Scinax fuscomarginatus,SCIFUS
Hylidae,Scinax fuscovarius,SCIFUV
Hylidae,Scinax nasicus,SCINAS
Hylidae,Scinax perereca,SCIPER
Hylidae,Scinax rizibilis,SCIRIZ
Hylidae,Scinax similis,SCISIM
Hylidae,Scinax x-signatus,SCIXSI
Hylidae,Sphaenorhynchus surdus,SPHSUR
